"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptk2",0.00513519341020554,0.412677305922295,0.29,0.27,1,"MOL_1","Ptk2"
"Rbm33",0.00522675797747228,0.38747483340274,0.354,0.343,1,"MOL_1","Rbm33"
"Cd9",0.00527765788574676,0.294289716578847,0.876,0.867,1,"MOL_1","Cd9"
"Hnrnph1",0.00547644001520766,0.401983216767025,0.371,0.351,1,"MOL_1","Hnrnph1"
"Scaf4",0.00548412835841164,0.568753291858007,0.253,0.224,1,"MOL_1","Scaf4"
"Rapgef3",0.00579094626760397,0.802934597495464,0.311,0.216,1,"MOL_1","Rapgef3"
"Prpf4b",0.00587268324274301,0.469499361687943,0.47,0.441,1,"MOL_1","Prpf4b"
"Cntfr",0.0060071422449078,0.250279959360099,0.353,0.321,1,"MOL_1","Cntfr"
"Sltm",0.00634988323269956,0.458886034009476,0.362,0.347,1,"MOL_1","Sltm"
"Srsf11",0.00635918727338629,0.558563592469169,0.38,0.345,1,"MOL_1","Srsf11"
"Cnot10",0.00638858940197757,0.53372456230504,0.324,0.288,1,"MOL_1","Cnot10"
"Ubc",0.00676183229436438,0.357652471911078,0.839,0.893,1,"MOL_1","Ubc"
"Zfp276",0.00696262400203111,0.62009533594133,0.319,0.282,1,"MOL_1","Zfp276"
"Srrt",0.00699281088506756,0.624650244104452,0.347,0.297,1,"MOL_1","Srrt"
"Fbxl5",0.00707157852824761,0.347004760053921,0.742,0.73,1,"MOL_1","Fbxl5"
"Bcas1",0.00713152653292465,0.398016981084418,0.714,0.696,1,"MOL_1","Bcas1"
"Mon2",0.00777191682498251,0.473112526918347,0.437,0.412,1,"MOL_1","Mon2"
"Lpgat1",0.00789724480345002,0.562889736392324,0.721,0.674,1,"MOL_1","Lpgat1"
"Lgmn",0.00798713717310497,0.433438106977609,0.475,0.441,1,"MOL_1","Lgmn"
"Agrn",0.00799527704366005,0.743649411233872,0.383,0.323,1,"MOL_1","Agrn"
"Erbb3",0.0082947745323621,0.648940759659728,0.628,0.549,1,"MOL_1","Erbb3"
"Ttc3",0.00844998471856956,0.365492423573074,0.273,0.266,1,"MOL_1","Ttc3"
"Josd2",0.00874038737309014,0.291708026447244,0.711,0.705,1,"MOL_1","Josd2"
"Fam228b",0.00887603926141236,0.438161428617297,0.256,0.256,1,"MOL_1","Fam228b"
"Man2a2",0.00911981319535768,0.320812065421807,0.677,0.679,1,"MOL_1","Man2a2"
"Slc25a27",0.00928896073600873,0.510250628050614,0.391,0.368,1,"MOL_1","Slc25a27"
"Herc2",0.0097179995378523,0.371582095048076,0.364,0.338,1,"MOL_1","Herc2"
"Hmgb1",0.00993324833057844,0.661171277724411,0.324,0.283,1,"MOL_1","Hmgb1"
"Mal",1.8335814739981e-41,0.512277056316633,1,0.989,3.49462293129297e-37,"MOL_2","Mal"
"Opalin",3.02494838512891e-25,0.576639701550039,0.991,0.913,5.76524912721718e-21,"MOL_2","Opalin"
"Cd91",5.14388542637117e-23,0.543806816530644,0.945,0.84,9.80373123412082e-19,"MOL_2","Cd9"
"Il33",3.50796894412889e-22,0.500514207058867,0.972,0.873,6.68583801061526e-18,"MOL_2","Il33"
"Gstp1",2.31032748541338e-21,0.633868260804156,0.936,0.832,4.40325315444936e-17,"MOL_2","Gstp1"
"Desi1",4.45751660833709e-19,0.380675036823157,0.984,0.951,8.49558090382967e-15,"MOL_2","Desi1"
"Tspan2",2.81482358663642e-18,0.421997310762032,0.996,0.985,5.36477227377036e-14,"MOL_2","Tspan2"
"Plekha1",4.45109614500021e-14,0.573233517083397,0.768,0.657,8.4833441427559e-10,"MOL_2","Plekha1"
"Erbin",3.54341978247162e-13,0.306675059492796,0.975,0.944,6.75340376341266e-09,"MOL_2","Erbin"
"Cd81",1.53982071762747e-12,0.283031813774172,0.994,0.982,2.9347443057262e-08,"MOL_2","Cd81"
"Sema6d1",4.03838188693578e-12,0.568605917208491,0.834,0.647,7.6967520383109e-08,"MOL_2","Sema6d"
"Add1",1.01249998337318e-11,0.415627244266149,0.91,0.864,1.92972371831094e-07,"MOL_2","Add1"
"Prickle1",1.1684913702685e-10,0.827624123475672,0.672,0.477,2.22702770259474e-06,"MOL_2","Prickle1"
"Efhd1",1.72777507819357e-10,0.320322080607351,0.912,0.85,3.29296652152913e-06,"MOL_2","Efhd1"
"Sh3gl3",4.11709303554923e-10,0.651967716089653,0.7,0.57,7.84676761645328e-06,"MOL_2","Sh3gl3"
"Cntfr1",4.65820301307499e-10,0.741212399749963,0.433,0.287,8.87806912261962e-06,"MOL_2","Cntfr"
"Selenom",3.18580122636451e-09,0.405885436030459,0.736,0.639,6.07181855732811e-05,"MOL_2","Selenom"
"Ablim21",8.57004437875219e-09,0.618669833138149,0.54,0.374,0.000163336475814638,"MOL_2","Ablim2"
"Hebp1",1.2000071052839e-08,0.645198201131545,0.545,0.414,0.000228709354196059,"MOL_2","Hebp1"
"Rasal11",3.6564560162535e-08,0.528334363462616,0.42,0.285,0.000696883952137755,"MOL_2","Rasal1"
"Ttyh11",1.48116249561387e-07,0.484684331983188,0.586,0.473,0.00282294760039048,"MOL_2","Ttyh1"
"Ptn",5.34664687239829e-07,0.285772209542511,0.933,0.896,0.0101901742741039,"MOL_2","Ptn"
"Cnp",6.79951227928766e-07,0.257700638254916,0.999,0.988,0.0129591904530944,"MOL_2","Cnp"
"Cstb",7.37593871083403e-07,0.343681796722395,0.451,0.397,0.0140578015889786,"MOL_2","Cstb"
"Chn2",1.42900390820569e-06,0.271028507095143,0.91,0.875,0.0272353854864922,"MOL_2","Chn2"
"Ccni",1.57775939270761e-06,0.259708432363796,0.676,0.62,0.0300705162656142,"MOL_2","Ccni"
"Clic4",1.70705675137e-06,0.294771612089458,0.975,0.939,0.0325347946243608,"MOL_2","Clic4"
"Fbxl51",5.71787563622162e-06,0.399306927884845,0.801,0.706,0.108976991750748,"MOL_2","Fbxl5"
"Epas1",8.154182311544e-06,0.707475155299723,0.3,0.199,0.155410560675717,"MOL_2","Epas1"
"Rap2a",9.77693001947847e-06,0.721062232737851,0.349,0.232,0.18633850924124,"MOL_2","Rap2a"
"Bfsp2",1.00426509793042e-05,0.679973015549558,0.445,0.307,0.191402885014559,"MOL_2","Bfsp2"
"Ttc9",4.43275385637414e-05,0.659355616210544,0.309,0.208,0.844838557486347,"MOL_2","Ttc9"
"Tmod1",6.5314407660076e-05,0.351779031523855,0.807,0.722,1,"MOL_2","Tmod1"
"Nudt4",8.0126925079063e-05,0.275339731905489,0.542,0.495,1,"MOL_2","Nudt4"
"Foxj1",0.00013563998751123,0.813486643077465,0.265,0.165,1,"MOL_2","Foxj1"
"Sh3bgrl3",0.000262518470538758,0.30589003000272,0.651,0.588,1,"MOL_2","Sh3bgrl3"
"Glod4",0.00027445777935437,0.259328405450308,0.686,0.63,1,"MOL_2","Glod4"
"Ick",0.00028118527656164,0.390115436631583,0.597,0.507,1,"MOL_2","Ick"
"Ubl3",0.00034484062114319,0.26276243228241,0.91,0.85,1,"MOL_2","Ubl3"
"Sgk2",0.00040138330480541,0.543695243108552,0.322,0.238,1,"MOL_2","Sgk2"
"Ckb",0.000412606750258352,0.27458422472568,0.86,0.808,1,"MOL_2","Ckb"
"Sipa1l2",0.000464763876168756,0.392767733746611,0.26,0.21,1,"MOL_2","Sipa1l2"
"Dgat2",0.000500456031498151,0.719520000764662,0.255,0.159,1,"MOL_2","Dgat2"
"Nkd1",0.00092734932656084,0.377692997715354,0.616,0.538,1,"MOL_2","Nkd1"
"Pdlim2",0.00093576968135887,0.35295275567386,0.628,0.555,1,"MOL_2","Pdlim2"
"Gria4",0.00109801882665494,0.445719797719295,0.359,0.288,1,"MOL_2","Gria4"
"Capn5",0.00122260187624743,0.527947159872177,0.517,0.411,1,"MOL_2","Capn5"
"Mapre1",0.00124926093508194,0.377253752228058,0.463,0.388,1,"MOL_2","Mapre1"
"Srgap11",0.00133609326515445,0.311301078919758,0.292,0.219,1,"MOL_2","Srgap1"
"Hs3st1",0.00136235841150838,0.406130829650365,0.643,0.572,1,"MOL_2","Hs3st1"
"Kcna2",0.00143811212199085,0.540368560234543,0.292,0.215,1,"MOL_2","Kcna2"
"Lpar1",0.00149258278852224,0.257326830155802,0.748,0.709,1,"MOL_2","Lpar1"
"Msrb1",0.00158274183602841,0.444652758993276,0.525,0.435,1,"MOL_2","Msrb1"
"Aldoa-ENSMUSG00000030695",0.00179898475393363,0.345327393604237,0.748,0.685,1,"MOL_2","Aldoa-ENSMUSG00000030695"
"Tbc1d16",0.00181183861044152,0.344397478434126,0.398,0.335,1,"MOL_2","Tbc1d16"
"Inpp5a",0.00258107193792209,0.506111491943753,0.454,0.354,1,"MOL_2","Inpp5a"
"Phactr3",0.00265633673368471,0.517090582817253,0.567,0.452,1,"MOL_2","Phactr3"
"Scrn1",0.00316218031020565,0.448124070133987,0.322,0.256,1,"MOL_2","Scrn1"
"Grb2",0.00367725299190573,0.26858008432019,0.403,0.367,1,"MOL_2","Grb2"
"Akr7a5",0.00483918167180723,0.266405743275697,0.323,0.286,1,"MOL_2","Akr7a5"
"Sqstm1",0.00531318138715136,0.250105725775186,0.684,0.63,1,"MOL_2","Sqstm1"
"Timp2",0.00551914895368273,0.302038620298914,0.652,0.584,1,"MOL_2","Timp2"
"Pdxk",0.0069530609961647,0.652074015127675,0.332,0.253,1,"MOL_2","Pdxk"
"Dynlt3",0.00698322792093736,0.36649258068066,0.326,0.281,1,"MOL_2","Dynlt3"
"C4b",0.00726495515061026,0.4654210733838,0.275,0.209,1,"MOL_2","C4b"
"Lims2",0.00913802993685777,0.485405792938634,0.263,0.204,1,"MOL_2","Lims2"
"Cep104",0.00971449725436695,0.265146648084935,0.296,0.266,1,"MOL_2","Cep104"
"Selenop",3.59534008428585e-79,1.82348650769536,0.928,0.584,6.85235866664041e-75,"MOL_3","Selenop"
"Enpp6",2.03706805673476e-69,3.09273865323616,0.672,0.122,3.88244800933078e-65,"MOL_3","Enpp6"
"Tppp3",1.96235976809784e-58,1.35558250775313,0.956,0.75,3.74006148201768e-54,"MOL_3","Tppp3"
"Apod",1.18309832128604e-48,0.691270008586478,0.998,0.991,2.25486709053906e-44,"MOL_3","Apod"
"Anln",6.40175023489975e-48,1.56887550366668,0.868,0.513,1.22010957726954e-43,"MOL_3","Anln"
"Fth1",2.39473350343564e-45,0.562227120661598,0.997,0.988,4.56412258419799e-41,"MOL_3","Fth1"
"S100b",3.67882388951521e-39,3.48969302377309,0.451,0.091,7.01147045102703e-35,"MOL_3","S100b"
"Sccpdh",7.24684446276109e-38,0.82079927773265,0.933,0.81,1.38117608615764e-33,"MOL_3","Sccpdh"
"Fam131b",5.22702647408574e-37,1.24844883535008,0.64,0.338,9.96218975696001e-33,"MOL_3","Fam131b"
"Hopx",8.52209530565977e-35,3.08020352207017,0.326,0.051,1.6242261443057e-30,"MOL_3","Hopx"
"Trf1",7.0424472613336e-34,0.382072651464799,0.999,0.998,1.34222002353757e-29,"MOL_3","Trf"
"Rapgef5",1.48251124568741e-31,1.76888160169266,0.499,0.174,2.82551818315564e-27,"MOL_3","Rapgef5"
"Tln2",4.69069155485799e-31,2.35477895134095,0.441,0.099,8.93998903440384e-27,"MOL_3","Tln2"
"Plin3",2.97627674591552e-29,1.62778796801155,0.67,0.33,5.67248585004038e-25,"MOL_3","Plin3"
"Slco3a1",2.04865618303333e-28,1.4362637825448,0.676,0.309,3.90453381924322e-24,"MOL_3","Slco3a1"
"Hapln2",7.6316317324932e-28,0.755250000772095,0.915,0.753,1.45451269189588e-23,"MOL_3","Hapln2"
"Itgb5",7.76754411976207e-27,1.70645199165034,0.418,0.13,1.48041623378545e-22,"MOL_3","Itgb5"
"Serpinb1a",2.31171659286989e-26,0.936529905287549,0.799,0.512,4.40590065435073e-22,"MOL_3","Serpinb1a"
"Carns1",3.4853899026641e-26,1.1963815976833,0.555,0.274,6.64280461548752e-22,"MOL_3","Carns1"
"Mtus1",3.90246221143769e-26,0.681648338837773,0.742,0.56,7.43770272877909e-22,"MOL_3","Mtus1"
"Gng11",2.27137103728054e-25,0.875796582600077,0.881,0.674,4.32900605995297e-21,"MOL_3","Gng11"
"Fez1",2.97620334910262e-25,0.426324375188712,0.989,0.962,5.67234596305468e-21,"MOL_3","Fez1"
"Tmsb4x",1.51182619946723e-23,0.441405328030548,0.985,0.94,2.8813895535646e-19,"MOL_3","Tmsb4x"
"Tspan9",5.42776508662824e-23,1.72218344198615,0.369,0.125,1.03447774786048e-18,"MOL_3","Tspan9"
"Rftn1",1.04136769863163e-21,0.927289552999106,0.548,0.322,1.98474269682203e-17,"MOL_3","Rftn1"
"Gnai1",1.49897117828456e-21,0.532505321113146,0.946,0.864,2.85688916869254e-17,"MOL_3","Gnai1"
"Tmem117",1.26200321643851e-20,2.21090112761172,0.267,0.057,2.40525193021015e-16,"MOL_3","Tmem117"
"Pmp22",1.0950473101141e-19,0.913930543261796,0.743,0.473,2.08705066834647e-15,"MOL_3","Pmp22"
"Dbndd2",4.05862648275658e-19,0.42545172643348,0.993,0.977,7.73533621348577e-15,"MOL_3","Dbndd2"
"Mobp",9.85861781046851e-19,0.26175601502216,0.999,0.997,1.87895396849719e-14,"MOL_3","Mobp"
"Tuba1a",2.21258465592311e-18,0.413313568940662,0.981,0.952,4.21696509572385e-14,"MOL_3","Tuba1a"
"Mtss1",8.11408839173719e-18,0.970012273977408,0.568,0.325,1.54646410658119e-13,"MOL_3","Mtss1"
"Agmo",8.143518212939e-18,1.87029473030864,0.276,0.076,1.55207313620404e-13,"MOL_3","Agmo"
"Iqsec1",2.13715033675484e-17,0.88876581241837,0.715,0.504,4.07319482682104e-13,"MOL_3","Iqsec1"
"Spock3",4.04974949270099e-17,0.496139199186629,0.924,0.779,7.71841755813883e-13,"MOL_3","Spock3"
"Sept8",4.17803726121851e-17,0.479542742772964,0.985,0.946,7.96292121615637e-13,"MOL_3","Sept8"
"Smtnl2",1.76167622530821e-16,1.66158513023096,0.296,0.093,3.35757871781493e-12,"MOL_3","Smtnl2"
"Rap1gds1",3.68598076020145e-16,0.665266522206021,0.773,0.602,7.02511073086795e-12,"MOL_3","Rap1gds1"
"Mvb12b",4.87888459999849e-16,0.596511536460777,0.8,0.641,9.29866615913711e-12,"MOL_3","Mvb12b"
"Itgb4",7.40121776634142e-16,0.653661922211437,0.771,0.579,1.41059809408701e-11,"MOL_3","Itgb4"
"Kctd13",1.24542428933362e-15,0.279587441778971,0.995,0.975,2.37365415304094e-11,"MOL_3","Kctd13"
"Adap1",1.41449322273142e-15,0.4002143290537,0.91,0.828,2.69588263320382e-11,"MOL_3","Adap1"
"Klhl4",1.71855858233388e-15,0.691755704145718,0.757,0.526,3.27540080207015e-11,"MOL_3","Klhl4"
"Epb41l2",4.27655940309409e-15,0.848701126069744,0.762,0.526,8.15069456635703e-11,"MOL_3","Epb41l2"
"Ptprf",6.60421127829493e-15,1.02174824529136,0.522,0.278,1.25869662753023e-10,"MOL_3","Ptprf"
"Padi2",7.01315372942268e-15,0.947001624237975,0.621,0.374,1.33663696929067e-10,"MOL_3","Padi2"
"Gsn",7.60583268411285e-15,0.368978720976015,0.945,0.876,1.44959565126507e-10,"MOL_3","Gsn"
"Myo1e",7.76222044675327e-15,1.00901034625845,0.413,0.215,1.47940159494671e-10,"MOL_3","Myo1e"
"Aven",1.15749803677494e-14,1.62307689779803,0.315,0.119,2.20607550828935e-10,"MOL_3","Aven"
"St3gal4",3.08620937364673e-14,0.849591529030956,0.5,0.297,5.88200644523331e-10,"MOL_3","St3gal4"
"Rhou",5.69173932161108e-14,0.550458724222171,0.855,0.692,1.08478859730586e-09,"MOL_3","Rhou"
"Sall1",6.14186685806326e-14,0.973807889384945,0.535,0.306,1.17057840447828e-09,"MOL_3","Sall1"
"Coro2b",8.92964449213317e-14,0.718333833695099,0.352,0.199,1.70190094375566e-09,"MOL_3","Coro2b"
"Efr3b",2.3912261622907e-13,1.50329037596071,0.273,0.099,4.55743794270984e-09,"MOL_3","Efr3b"
"Aif1l",2.64897544526899e-13,0.737163324565706,0.494,0.309,5.04868230113818e-09,"MOL_3","Aif1l"
"Fam171a1",2.93909862606353e-13,0.893565929434987,0.43,0.236,5.60162807141447e-09,"MOL_3","Fam171a1"
"Usp31",4.74937188649833e-13,0.781920887985776,0.699,0.483,9.05182787847718e-09,"MOL_3","Usp31"
"Mapre2",4.78110103625057e-13,0.878413088061405,0.604,0.384,9.11230046498997e-09,"MOL_3","Mapre2"
"Shroom1",6.97424265906805e-13,1.3314989546248,0.27,0.106,1.32922090839178e-08,"MOL_3","Shroom1"
"Lmna",7.92091643114984e-13,1.22015083468587,0.302,0.128,1.50964746261285e-08,"MOL_3","Lmna"
"Cpox",1.26973299053912e-12,0.577824883404739,0.834,0.683,2.41998410666851e-08,"MOL_3","Cpox"
"Crybg3",1.46963415695115e-12,1.3869067427529,0.339,0.126,2.80097573973321e-08,"MOL_3","Crybg3"
"Ndrg1",2.78368228175352e-12,0.289972573191727,0.989,0.97,5.30542006079403e-08,"MOL_3","Ndrg1"
"Ppp2r2c",2.89846336891041e-12,0.602560581356303,0.778,0.61,5.52418133480635e-08,"MOL_3","Ppp2r2c"
"Pdlim1",3.00069074936133e-12,1.05526088539048,0.422,0.207,5.71901649920777e-08,"MOL_3","Pdlim1"
"Gltp",3.45621105957352e-12,0.478731856670977,0.892,0.789,6.58719265844116e-08,"MOL_3","Gltp"
"Rnd2",3.58746842721883e-12,1.06245323615735,0.302,0.149,6.83735607543637e-08,"MOL_3","Rnd2"
"Gal3st1",6.70694316933902e-12,0.447111692858536,0.807,0.673,1.27827629864432e-07,"MOL_3","Gal3st1"
"Acot7",9.28921338186819e-12,0.507209253003748,0.885,0.781,1.77043117845026e-07,"MOL_3","Acot7"
"Ermn",8.05676801339775e-11,0.261274805292561,0.99,0.972,1.53553941567348e-06,"MOL_3","Ermn"
"Sypl",9.78606681397814e-11,0.338646149937026,0.9,0.837,1.86512647407609e-06,"MOL_3","Sypl"
"Rcbtb1",1.01561055169462e-10,0.330178571817146,0.915,0.839,1.93565215047477e-06,"MOL_3","Rcbtb1"
"Tubb3",1.12344106602095e-10,1.19304060024337,0.269,0.129,2.14116632772933e-06,"MOL_3","Tubb3"
"Zyx",1.39475516301627e-10,1.28471276959203,0.421,0.187,2.65826386519272e-06,"MOL_3","Zyx"
"Fmnl2",1.39795840733632e-10,0.405685435958852,0.795,0.669,2.66436892854229e-06,"MOL_3","Fmnl2"
"Daam2",3.47379855022266e-10,0.335264129753051,0.916,0.844,6.62071265686938e-06,"MOL_3","Daam2"
"Sh3kbp1",4.18528203479142e-10,0.852251047266344,0.557,0.343,7.97672903010898e-06,"MOL_3","Sh3kbp1"
"Plaat3",4.83677027449317e-10,0.278977917369176,0.97,0.929,9.21840046615654e-06,"MOL_3","Plaat3"
"Olfm1",4.95729258446429e-10,0.578727421678868,0.338,0.226,9.44810393673049e-06,"MOL_3","Olfm1"
"Fgf1",5.42521014830418e-10,0.561431028715,0.594,0.422,1.03399080216529e-05,"MOL_3","Fgf1"
"Prdx1",5.78966712811739e-10,0.496693187356179,0.846,0.716,1.10345265794789e-05,"MOL_3","Prdx1"
"Plpp2",6.78008472251539e-10,0.653325966013075,0.419,0.256,1.29221634726421e-05,"MOL_3","Plpp2"
"Inpp5f",7.11117739013114e-10,0.487977189410681,0.779,0.627,1.35531929878509e-05,"MOL_3","Inpp5f"
"Ldhb",7.22396117291006e-10,0.893217982344357,0.424,0.263,1.37681475994493e-05,"MOL_3","Ldhb"
"Hdac11",8.72340824679777e-10,0.349767302057682,0.874,0.788,1.66259437775719e-05,"MOL_3","Hdac11"
"Gstm1",8.72525794876116e-10,1.09347802890279,0.307,0.147,1.66294691245439e-05,"MOL_3","Gstm1"
"Marcksl1",1.08314335433546e-09,0.409113369772187,0.624,0.487,2.06436291902796e-05,"MOL_3","Marcksl1"
"Cyp2j12",1.1418363566683e-09,0.687571527837442,0.524,0.321,2.17622591217412e-05,"MOL_3","Cyp2j12"
"Pacs2",1.56322657002648e-09,0.54370597358503,0.855,0.727,2.97935351981346e-05,"MOL_3","Pacs2"
"Gstm7",1.70561454371708e-09,0.499012812182686,0.66,0.505,3.25073075887039e-05,"MOL_3","Gstm7"
"Pip4k2a",1.77597475609557e-09,0.424132337257293,0.891,0.778,3.38483028764254e-05,"MOL_3","Pip4k2a"
"Rasgrp3",1.95240513072133e-09,0.645533126166632,0.652,0.445,3.72108893864179e-05,"MOL_3","Rasgrp3"
"Ctnna2",2.21249931456147e-09,0.7357911514666,0.551,0.359,4.2168024436227e-05,"MOL_3","Ctnna2"
"Pdgfa",2.53141866409381e-09,0.630916474863147,0.631,0.448,4.8246308318964e-05,"MOL_3","Pdgfa"
"Rap1a",2.63023543147804e-09,0.481131032665105,0.87,0.751,5.01296570885399e-05,"MOL_3","Rap1a"
"Ephb1",3.08947167970834e-09,0.404776420768385,0.569,0.433,5.88822407435613e-05,"MOL_3","Ephb1"
"Efcab14",7.00178076492086e-09,0.463777539414793,0.873,0.772,0.000133446939598627,"MOL_3","Efcab14"
"Dctn4",1.04643103202293e-08,0.454108608494994,0.706,0.581,0.000199439290393251,"MOL_3","Dctn4"
"Ldb3",1.13405927435606e-08,0.755467379748252,0.26,0.14,0.000216140357099522,"MOL_3","Ldb3"
"Mob3b",1.19999232685893e-08,0.924786106455331,0.506,0.3,0.000228706537576043,"MOL_3","Mob3b"
"Anxa5",1.26997825160438e-08,1.13030056715481,0.371,0.185,0.000242045154973279,"MOL_3","Anxa5"
"Mapk3",1.34846927054988e-08,0.421442385209281,0.812,0.687,0.000257004758274101,"MOL_3","Mapk3"
"Zcchc24",1.63538058649918e-08,0.435383018624164,0.677,0.532,0.000311687185980878,"MOL_3","Zcchc24"
"Siah2",2.07530816024057e-08,0.631415774720482,0.427,0.277,0.00039553298226025,"MOL_3","Siah2"
"Pla2g4a",2.12718386901618e-08,0.912878257782857,0.263,0.131,0.000405419973595794,"MOL_3","Pla2g4a"
"Stmn1",2.40096670662337e-08,0.299803115236385,0.986,0.949,0.000457600244615349,"MOL_3","Stmn1"
"Cmtm5",2.46405491385285e-08,0.282600101318405,0.967,0.93,0.000469624226031214,"MOL_3","Cmtm5"
"Errfi1",3.28434297257707e-08,0.448676543330192,0.548,0.39,0.000625962927143463,"MOL_3","Errfi1"
"Smap2",3.40981320919515e-08,0.500900892697402,0.496,0.354,0.000649876299540504,"MOL_3","Smap2"
"Cpd",4.53669727588839e-08,0.454861464710903,0.818,0.705,0.000864649133811569,"MOL_3","Cpd"
"Srgap3",6.53326960508277e-08,0.58959930749578,0.277,0.169,0.00124517585403273,"MOL_3","Srgap3"
"Shtn11",6.829480757774e-08,0.275438562653381,0.785,0.664,0.00130163073762415,"MOL_3","Shtn1"
"Gjb1",8.15475302254502e-08,0.426752799588376,0.926,0.848,0.00155421437856686,"MOL_3","Gjb1"
"Trpc4ap",8.45401357144876e-08,0.282732101880756,0.788,0.688,0.00161125044658242,"MOL_3","Trpc4ap"
"Tmem38b",8.57068870696365e-08,0.755178443367985,0.282,0.16,0.0016334875606602,"MOL_3","Tmem38b"
"Omg",1.02948639743762e-07,0.382162060332807,0.897,0.801,0.00196209812487636,"MOL_3","Omg"
"Heg1",1.12535565081799e-07,0.466726962557491,0.388,0.257,0.00214481533489401,"MOL_3","Heg1"
"Tspan5",1.16563433371421e-07,0.655277732238726,0.62,0.433,0.00222158247662591,"MOL_3","Tspan5"
"Lipe",1.45317320201729e-07,0.481177571209719,0.358,0.244,0.00276960280572475,"MOL_3","Lipe"
"Ppp1r9a",1.6998408880545e-07,0.386702597637619,0.429,0.312,0.00323972674854307,"MOL_3","Ppp1r9a"
"Dgki",1.83276700652021e-07,0.821154452895065,0.411,0.227,0.00349307063772686,"MOL_3","Dgki"
"Abhd12",2.04305760864964e-07,0.485637083632354,0.723,0.591,0.00389386349632536,"MOL_3","Abhd12"
"Ank",2.05007349575232e-07,0.345745623981778,0.889,0.808,0.00390723507555435,"MOL_3","Ank"
"Prrg1",2.57408160238668e-07,0.467762565949605,0.672,0.503,0.00490594212598877,"MOL_3","Prrg1"
"Micall1",2.97892221105319e-07,0.482521695467055,0.683,0.517,0.00567752784204627,"MOL_3","Micall1"
"Jph1",3.4051706586595e-07,0.272112205826864,0.443,0.352,0.00648991475833914,"MOL_3","Jph1"
"Ctnna3",3.70323899534728e-07,0.510927236307172,0.433,0.285,0.00705800320123238,"MOL_3","Ctnna3"
"Mgat3",4.26027481278272e-07,0.266495918222718,0.542,0.435,0.00811965776568259,"MOL_3","Mgat3"
"Tmeff1",4.74341672106425e-07,0.353206790165342,0.928,0.847,0.00904047792867635,"MOL_3","Tmeff1"
"Lama2",6.05891834661524e-07,0.2580286946813,0.309,0.216,0.011547692476814,"MOL_3","Lama2"
"Rab4a",6.53387397071394e-07,0.615517592979541,0.409,0.271,0.0124529104007837,"MOL_3","Rab4a"
"Prmt2",8.13314445641277e-07,0.708270882853482,0.314,0.188,0.0155009600194771,"MOL_3","Prmt2"
"Aldh9a1",8.54840093979207e-07,0.551621794476661,0.467,0.322,0.0162923973511497,"MOL_3","Aldh9a1"
"Itpk1",1.25351242251774e-06,0.330555480001551,0.824,0.71,0.0238906932607656,"MOL_3","Itpk1"
"Paqr7",1.49001057979544e-06,0.957334329297884,0.284,0.139,0.0283981116403213,"MOL_3","Paqr7"
"Abhd5",1.58875642626055e-06,0.41913263189677,0.481,0.358,0.0302801087280998,"MOL_3","Abhd5"
"Elovl5",1.85523017697578e-06,0.49559645220016,0.72,0.575,0.0353588319429813,"MOL_3","Elovl5"
"Cdk18",1.89705039155124e-06,0.369120131736019,0.679,0.548,0.0361558834125751,"MOL_3","Cdk18"
"Tex52",1.97532409529264e-06,0.460515850838406,0.294,0.19,0.0376477019321824,"MOL_3","Tex52"
"Mapkap1",3.07888271375582e-06,0.476560625353532,0.342,0.233,0.0586804256414721,"MOL_3","Mapkap1"
"Rgmb",3.15551818461429e-06,0.955937843824539,0.324,0.175,0.0601410210805638,"MOL_3","Rgmb"
"Prkacb",3.29455249827148e-06,0.287337938714473,0.858,0.776,0.0627908760645562,"MOL_3","Prkacb"
"Gss",3.4848881731276e-06,0.531709423753444,0.383,0.268,0.066418483691639,"MOL_3","Gss"
"Cyp27a1",3.78495976748399e-06,0.6504483751601,0.275,0.166,0.0721375482084773,"MOL_3","Cyp27a1"
"Ptgr2",4.43132571203685e-06,0.326606728127343,0.423,0.329,0.0844566367457102,"MOL_3","Ptgr2"
"Sys1",4.65697512521669e-06,0.556990040399725,0.601,0.444,0.0887572889115048,"MOL_3","Sys1"
"Rhpn2",5.01428620550672e-06,0.548406005779106,0.255,0.162,0.0955672807907527,"MOL_3","Rhpn2"
"Fgd3",5.14060739129721e-06,0.596697730657789,0.274,0.171,0.0979748362707336,"MOL_3","Fgd3"
"B3galt5",5.78647818745261e-06,0.375097814965206,0.672,0.53,0.110284487774659,"MOL_3","B3galt5"
"Plekhh2",6.14633766428088e-06,0.61237320666936,0.27,0.158,0.117143049543529,"MOL_3","Plekhh2"
"Lbh",6.36052054817272e-06,0.450479503252748,0.478,0.342,0.121225161127624,"MOL_3","Lbh"
"Apbb1",6.76397334011263e-06,0.278953286010549,0.882,0.804,0.128914567889207,"MOL_3","Apbb1"
"Otud7a",6.86714865723604e-06,0.499162604265855,0.352,0.235,0.130880986258262,"MOL_3","Otud7a"
"Msn",6.94466693149114e-06,0.840453955214853,0.251,0.136,0.13235840704729,"MOL_3","Msn"
"Slc27a1",7.59586948545165e-06,0.625711010836134,0.445,0.281,0.144769676523223,"MOL_3","Slc27a1"
"Csf1",7.88686021886594e-06,0.428307763538171,0.427,0.299,0.150315668911366,"MOL_3","Csf1"
