"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sec14l5",5.73050401522271e-09,0.911566623529201,0.751,0.662,0.00010921767602613,"MOL_1","Sec14l5"
"Pcdh9",5.9378883442592e-09,0.40018704951109,0.952,0.946,0.000113170213953236,"MOL_1","Pcdh9"
"Ccnl1",7.04037835614596e-09,0.751210928604408,0.398,0.326,0.000134182571089786,"MOL_1","Ccnl1"
"Kcna6",9.89631952567348e-09,0.51070626123478,0.914,0.9,0.000188613953839811,"MOL_1","Kcna6"
"Pabpn1",1.27755077946634e-08,0.758730942958873,0.632,0.546,0.00024348840305849,"MOL_1","Pabpn1"
"Tmem63a",2.40196890887352e-08,0.386287875461397,0.943,0.933,0.000457791254342203,"MOL_1","Tmem63a"
"Mapt",2.89721275275419e-08,0.360115556344645,0.953,0.949,0.00055217977854742,"MOL_1","Mapt"
"Kif21b",3.07558275600075e-08,0.921737274937089,0.527,0.372,0.000586175317466183,"MOL_1","Kif21b"
"Exoc6b",3.87391392128819e-08,0.640150837407663,0.813,0.752,0.000738329254258316,"MOL_1","Exoc6b"
"Arglu1",4.70873428272778e-08,0.804300271331807,0.516,0.427,0.000897437666945087,"MOL_1","Arglu1"
"Ddr1",5.13599402099895e-08,0.412890183376278,0.89,0.889,0.00097886910046219,"MOL_1","Ddr1"
"Fubp1",6.22063647660174e-08,0.583901798110084,0.372,0.33,0.00118559110607553,"MOL_1","Fubp1"
"Aebp1",6.91028387153029e-08,1.10894053593056,0.396,0.244,0.00131703100307496,"MOL_1","Aebp1"
"Clk1",1.04758107434031e-07,0.529522497645386,0.792,0.739,0.0019965847695852,"MOL_1","Clk1"
"Ptgds",1.22335003775683e-07,0.422791425990386,0.98,0.919,0.00233158283696075,"MOL_1","Ptgds"
"Grik2",1.36012328095099e-07,0.93876968306965,0.355,0.259,0.00259225896116448,"MOL_1","Grik2"
"Adamts1",1.7265011271749e-07,1.34048192373717,0.459,0.281,0.00329053849828263,"MOL_1","Adamts1"
"Gabbr1",1.73642432781204e-07,0.575191792926941,0.839,0.781,0.00330945112637697,"MOL_1","Gabbr1"
"Dst",2.09864994971263e-07,0.372105282758393,0.907,0.9,0.00399981693915729,"MOL_1","Dst"
"Nbas",2.20309287403774e-07,0.582847001041513,0.662,0.605,0.00419887470862852,"MOL_1","Nbas"
"Apoe",2.32046171665737e-07,0.38631105521166,0.962,0.945,0.00442256798577728,"MOL_1","Apoe"
"Adamtsl1",2.3833306725275e-07,0.645765744271807,0.63,0.555,0.00454238992877016,"MOL_1","Adamtsl1"
"Zfp536",2.42678374483541e-07,0.484385444414784,0.736,0.695,0.0046252071392818,"MOL_1","Zfp536"
"Tmeff2",2.46802701395146e-07,0.354975665353447,0.975,0.969,0.0047038126858901,"MOL_1","Tmeff2"
"Ypel2",2.47357616430461e-07,0.547633696830149,0.793,0.747,0.00471438881154816,"MOL_1","Ypel2"
"Emc1",2.71238555698308e-07,0.580442172172518,0.615,0.552,0.00516953563305405,"MOL_1","Emc1"
"Hepacam",2.74825547204846e-07,0.339664099529764,0.918,0.916,0.00523790010417715,"MOL_1","Hepacam"
"Srcin1",3.06336262776389e-07,0.421188156215534,0.946,0.929,0.0058384628322552,"MOL_1","Srcin1"
"Kif1a",3.19780629607589e-07,0.32483434671017,0.884,0.89,0.00609469901969103,"MOL_1","Kif1a"
"Unc5b",3.44617894812401e-07,0.506912544660255,0.838,0.806,0.00656807245722955,"MOL_1","Unc5b"
